Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Cylindrospermum	0	0.000226	0	0	0.000465	0	0	0	0
Rivularia	0	0.000226	0.000129	0	0.000883	5.7e-05	0	8e-06	0
Sphaerospermopsis	0	0.001146	0	0	0	0	0	0	0
Raphidiopsis	0	6.5e-05	0	0	0	0	0	0	0
Nodularia	0	3.2e-05	0	0	0.000441	9.9e-05	0	0	0
Anabaenopsis	0	1.6e-05	0	0	0	0	0	0	0
Fischerella	0	0.000242	8.6e-05	1.4e-05	0.000449	9.9e-05	0	0	0
Scytonema	0	9.7e-05	0	0	0	0.000254	0	0	0
Thermosynechococcus	0	0.000145	0	0	0.000313	0	1.2e-05	0	0
Dactylococcopsis	0	1.6e-05	0	0	0.000361	0	0	0	0
Leptolyngbya	0	0.000355	1e-04	5.5e-05	0.001509	0.00024	1.2e-05	0	0
Chamaesiphon	0	0.000226	0	0	0.000273	2.8e-05	0	0	0
Acaryochloris	0	0.000194	1.4e-05	0	0.000345	2.8e-05	1.2e-05	0	0
Synechocystis	0	3.2e-05	5.7e-05	1.4e-05	0.000522	4.2e-05	0	0	0
Pseudanabaena	0	1.6e-05	1.4e-05	8.2e-05	0.000193	7.1e-05	2.4e-05	0	0
Gloeocapsa	0	0.000242	0	0	0.000297	7.1e-05	0	0	0
Chondrocystis	0	0.000161	0	5.5e-05	0	0	0	0	0
Candidatus Atelocyanobacterium	0	0.000178	0.000287	1.4e-05	0.000522	0	0	8e-06	0
Microcystis	0	0.000178	0.000301	0	0.001292	0.00024	1.2e-05	0	0
Cyanobacterium	0	0.000145	7.2e-05	0	0.001348	1.4e-05	0	0	0
Crinalium	0	0.000452	0.00033	0.000123	0.00053	0	0	0	0
Arthrospira	0	0.000129	1.4e-05	4.1e-05	0.000955	4.2e-05	0	0	0
Moorea	0	4.8e-05	0.000186	5.5e-05	0.001557	4.2e-05	0	0	0
Gloeomargarita	0	0.000226	0	0	0	1.4e-05	0	0	0
Chroococcidiopsis	0	4.8e-05	1e-04	0	0.000393	0	0	0	0
Entomoplasma	0	0.000355	0.000158	1.4e-05	1.6e-05	5.7e-05	0	0	0
Truepera	0	0.000113	1e-04	0	0.000217	4.2e-05	0	0	0
Meiothermus	0	0.000113	7.2e-05	0	0.000401	0.00017	0	0	0
Dehalococcoides	0	0.00021	0.000244	0.000192	0.00069	2.8e-05	0.000155	0	0
Caldilinea	0	0.000161	7.2e-05	0	0.000241	0	0	8e-06	0
Brevefilum	0	9.7e-05	0.000172	0	0	0	0	0	0
Chloroflexus	0	1.6e-05	4.3e-05	2.7e-05	0.001003	0	0	0	0
Roseiflexus	0	1.6e-05	4.3e-05	1.4e-05	0.000489	0.000155	3.6e-05	0	0
Thermomicrobium	0	1.6e-05	1.4e-05	0	5.6e-05	0	0	0	0
Thermobaculum	0	0.000226	0	0	0.000169	0	0	0	0
Fimbriimonas	0	4.8e-05	0.000172	1.4e-05	0.000217	0	1.2e-05	0	0
Candidatus Hamiltonella	0	0.000194	2.9e-05	0	0.000144	8.5e-05	1.2e-05	0	0
Candidatus Doolittlea	0	0.000307	0	0	4.8e-05	0	0	0	0
Candidatus Tachikawaea	0	9.7e-05	2.9e-05	2.7e-05	0.000241	0	0	0	0
Candidatus Purcelliella	0	1.6e-05	0.000215	1.4e-05	0	0	0	0	0
Candidatus Hoaglandella	0	1.6e-05	2.9e-05	1.4e-05	2.4e-05	0	0	0	0
Candidatus Gullanella	0	1.6e-05	0.000115	6.8e-05	0.000104	1.4e-05	0	0	0
Shigella	0	0.000387	0.000444	0	0.005906	0.001738	0.02965	0	0
Limnobaculum	0	0.00021	0.000229	0	0	0	0	0	0
Candidatus Ishikawaella	0	4.8e-05	1.4e-05	0	0.000177	2.8e-05	0	0	0
Chania	0	0.000274	1e-04	2.7e-05	0.000465	0	0	0	0
Candidatus Fukatsuia	0	0.00021	0	0	0	1.4e-05	0	0	0
Wigglesworthia	0	4.8e-05	1.4e-05	0	0.000289	0	0	0	0
Lonsdalea	0	0.000565	0	0	8e-06	0.000367	0.000335	0	0
Photorhabdus	0	0.000581	0.000659	4.1e-05	0.002343	0.000226	0.001876	8e-06	0
Arsenophonus	0	8.1e-05	5.7e-05	0	0.00077	2.8e-05	0.000275	0	0
Phytobacter	0	0.003068	0.003856	0.00297	0	0	0	0	0
Obesumbacterium	0	4.8e-05	7.2e-05	1.4e-05	0.004847	0	0	0	0
Leminorella	0	0.000694	0.00119	0.000205	0	0.000254	0.000239	0	0
Pragia	0	0.00042	5.7e-05	0	0.000618	2.8e-05	0	0	0
Photobacterium	0	0.00113	0.000258	2.7e-05	0.001404	0.000706	0.000251	1.7e-05	0
Paraphotobacterium	0	9.7e-05	0.000186	0	0	0	0	0	0
Enterovibrio	0	4.8e-05	0	0	8e-06	0.000127	0	0	0
Lacimicrobium	0	0.000161	1.4e-05	0	0.000449	5.7e-05	0	0	0
Paraglaciecola	0	0.000113	0.000229	0	0.00057	9.9e-05	0	0	0
Salinimonas	0	8.1e-05	1.4e-05	0	0	0	0	0	0
Catenovulum	0	8.1e-05	0.00033	0.000109	0	1.4e-05	0	0	0
Moritella	0	0.000178	7.2e-05	2.7e-05	0.000626	0.000607	4.8e-05	0	0
Cobetia	0	9.7e-05	0.000143	0	0.000281	5.7e-05	0	1.7e-05	0
Zymobacter	0	3.2e-05	0	0	0	0	0	0	0
Candidatus Carsonella	0	3.2e-05	0	0	0.000449	0.00024	0	0	0
Marinomonas	0	0.000678	0.000602	0	0.001541	0.000198	8.4e-05	0	0
Oleispira	0	0.000145	4.3e-05	0	0.000538	0	0	0	0
Bacterioplanes	0	8.1e-05	0	0	0	0	0	0	0
Oleiphilus	0	0.000517	7.2e-05	0	0	0.00024	0	0	0
Ketobacter	0	0.000161	4.3e-05	1.4e-05	0	0	0	0	0
Kangiella	0	0.000274	1e-04	1.4e-05	0.000594	2.8e-05	1.2e-05	0	0
Endozoicomonas	0	0.000145	0	0	0.000369	0.000367	0	1.7e-05	0
Reinekea	0	4.8e-05	7.2e-05	0	0	8.5e-05	0	0	0
Saccharospirillum	0	3.2e-05	2.9e-05	2.7e-05	0	0.000509	0	0	0
Hahella	0	3.2e-05	2.9e-05	1.4e-05	0.000441	0.000155	0	0	0
Xylella	0	0.000517	0.000143	4.1e-05	0.000875	0.000424	0.000574	6.6e-05	0
Luteimonas	0	0.000129	7.2e-05	0	0.000377	5.7e-05	0	0	0
Pseudoxanthomonas	0	3.2e-05	0.000129	0	0.000963	0.000141	0	8e-06	0
Dyella	0	0.000129	0.000129	1.4e-05	0.001043	0.00041	0	0	0
Rhodanobacter	0	0.000113	2.9e-05	1.4e-05	0.000297	0.000127	0	8e-06	0
Luteibacter	0	8.1e-05	2.9e-05	0	0	2.8e-05	1.2e-05	0	0
Dokdonella	0	8.1e-05	1.4e-05	0	0.000297	8.5e-05	0	0	0
Ahniella	0	8.1e-05	0	0	0	0	0	0	0
Actinobacillus	0	0.000371	0.000602	0.000109	0.003491	0.00017	0.000155	1.7e-05	0
Glaesserella	0	0.000307	2.9e-05	0.000137	0.00207	0	0	0	0
Aggregatibacter	0	0.00021	5.7e-05	1.4e-05	0.002167	0.00024	0.000143	8e-06	0
Gallibacterium	0	0.000129	0.000258	5.5e-05	0.000698	4.2e-05	0	0	0
Bibersteinia	0	0.000113	2.9e-05	2.7e-05	0.001902	2.8e-05	2.4e-05	8e-06	0
Oceanisphaera	0	0.000145	1e-04	0	0	4.2e-05	0	0	0
Tolumonas	0	8.1e-05	0.000143	2.7e-05	0.000618	0.000127	0	1.7e-05	0
Allofrancisella	0	6.5e-05	5.7e-05	0	0.000409	2.8e-05	0	0	0
Hydrogenovibrio	0	8.1e-05	4.3e-05	0	0.000233	1.4e-05	0	0	0
Piscirickettsia	0	3.2e-05	1.4e-05	0	0.001107	8.5e-05	7.2e-05	0	0
Beggiatoa	0	0.000161	0.000373	5.5e-05	0	8.5e-05	0	0	0
Thioploca	0	6.5e-05	2.9e-05	0	0.000465	0	0	0	0
Saccharophagus	0	3.2e-05	1.4e-05	2.7e-05	0.000257	0	0	0	0
Simiduia	0	1.6e-05	4.3e-05	1.4e-05	0.000225	0	0	0	0
Spongiibacter	0	8.1e-05	0	4.1e-05	0.000289	8.5e-05	0	0	0
Zhongshania	0	8.1e-05	0	0	0.000209	0	0	0	0
Candidatus Ruthia	0	0.000113	0	0	0.000281	0	0	0	0
Gallaecimonas	0	0.000161	0.000229	0	0	0.000155	9.6e-05	0	0
Candidatus Thioglobus	0	0.000113	0.000258	4.1e-05	0.000859	0	0	0	0
Thiolapillus	0	0.000113	0.000229	1.4e-05	0.000265	2.8e-05	0	0	0
Thiohalobacter	0	8.1e-05	7.2e-05	4.1e-05	0	0	0	0	0
Fluoribacter	0	9.7e-05	0	0	0	0.000141	0	0	0
Tatlockia	0	1.6e-05	0	0	0.000385	1.4e-05	0	0	0
Methylococcus	0	0.000355	4.3e-05	5.5e-05	0.000369	0	4.8e-05	0	0
Methylocaldum	0	8.1e-05	0	0	0	0.000184	0	0	0
Methylovulum	0	6.5e-05	8.6e-05	0	0	1.4e-05	0	0	0
Halorhodospira	0	3.2e-05	1e-04	4.1e-05	0.000618	0	0	0	0
Thioflavicoccus	0	6.5e-05	5.7e-05	1.4e-05	0.000185	1.4e-05	0	0	0
Nitrosococcus	0	3.2e-05	0	0	0.001043	0.00017	0	0	0
Thiodictyon	0	1.6e-05	4.3e-05	6.8e-05	0	0	0	0	0
Granulosicoccus	0	0.000242	0.000315	0	0	0	0	0	0
Woeseia	0	1.6e-05	2.9e-05	0	0.000225	0	0	0	0
Frischella	0	0.000178	8.6e-05	1.4e-05	0.001557	0	0	2.5e-05	0
Acidiferrobacter	0	6.5e-05	4.3e-05	0	0	0	0	0	0
Sulfurifustis	0	6.5e-05	0.000115	0	0.000217	0.000155	0	0	0
Sulfuricaulis	0	1.6e-05	4.3e-05	1.4e-05	0.000329	0.000353	0	0	0
Immundisolibacter	0	6.5e-05	2.9e-05	0	0.000257	0	0	0	0
Solimonas	0	1.6e-05	0	0	0	5.7e-05	0	0	0
Orrella	0	0.00063	0.000186	9.6e-05	0	1.4e-05	0	0	0
Advenella	0	0.00042	7.2e-05	6.8e-05	0.000778	9.9e-05	3.6e-05	0	0
Taylorella	0	0.00021	0.000229	4.1e-05	0.001645	0.001045	2.4e-05	0	0
Oligella	0	3.2e-05	5.7e-05	0.000109	8e-06	0	0	0	0
Melaminivora	0	0.000355	0.000573	2.7e-05	0	0	0	0	0
Ottowia	0	0.000291	0.000229	5.5e-05	0.000249	1.4e-05	0	0	0
Ramlibacter	0	0.000161	0.000258	0.000137	0.000835	1.4e-05	0	4.1e-05	0
Alicycliphilus	0	0.000161	0.000129	2.7e-05	0.000818	8.5e-05	0	0	0
Curvibacter	0	1.6e-05	0	0	0.000225	0.001187	0.000765	0	0
Simplicispira	0	1.6e-05	0.000115	1.4e-05	0	0	0.000335	0	0
Sutterella	0	0.003148	0	0	0.000835	0.667208	0.308833	0.001007	0.476663
Leptothrix	0	0.000161	0.000129	1.4e-05	0.000481	5.7e-05	1.2e-05	2.5e-05	0
Paucibacter	0	0.000129	0.000358	0.000219	0.000313	0	0	0	0
Mitsuaria	0	6.5e-05	2.9e-05	1.4e-05	0.000449	0	0	0	0
Methylibium	0	4.8e-05	4.3e-05	0	0.000361	5.7e-05	1.2e-05	8e-06	0
Aquabacterium	0	3.2e-05	0.000258	6.8e-05	0	2.8e-05	0	0	0
Snodgrassella	0	0.000178	0.000215	1.4e-05	0.000345	0.000198	0	0	0
Kingella	0	0.000145	0	0	0.000281	0.000127	0.000155	0	0
Vitreoscilla	0	8.1e-05	8.6e-05	1.4e-05	8e-06	0	4.8e-05	0	0
Crenobacter	0	6.5e-05	0	0	0	0	0	0	0
Chromobacterium	0	0.000258	0.000817	0.000178	0.001107	0.000198	1.2e-05	0	0
Microvirgula	0	0.000145	0	0	8e-06	0.000268	0.000167	0	0
Laribacter	0	0.000113	0.000201	4.1e-05	0.000457	2.8e-05	0	8e-06	0
Aquitalea	0	0.000113	0	0	0	1.4e-05	0	0	0
Methylophilus	0	0.000323	5.7e-05	0	0.000249	0.000607	0	0	0
Candidatus Methylopumilus	0	0.000226	1e-04	1.4e-05	0.000642	0	0	0	0
Methylotenera	0	9.7e-05	0.000158	0	0.00057	8.5e-05	0	0	0
Nitrosospira	0	0.00021	0.000143	0	0.000506	9.9e-05	0	8e-06	0
Ferriphaselus	0	9.7e-05	0	0	0	0	0	0	0
Sulfuricella	0	1.6e-05	1.4e-05	1.4e-05	0.000337	1.4e-05	1.2e-05	0	0
Aromatoleum	0	0.000113	0.000143	0	0.000337	0	0	4.1e-05	0
Azospira	0	4.8e-05	0.000158	0	0.000498	0	1.2e-05	8e-06	0
Dechloromonas	0	0.000145	0.000115	0.000109	0.000618	1.4e-05	1.2e-05	8e-06	0
Candidatus Kinetoplastibacterium	0	0.000436	0.000502	0.000301	0.001918	0	0	0	0
Candidatus Nasuia	0	6.5e-05	1.4e-05	0	8e-06	9.9e-05	0	0	0
Candidatus Profftella	0	6.5e-05	0.000215	6.8e-05	0.000169	0	0	0	0
Nitrobacter	0	0.00042	4.3e-05	0	0.000433	2.8e-05	0	0	0
Afipia	0	0.000226	0	0	0.000257	8.5e-05	0	0	0
Bosea	0	9.7e-05	1e-04	2.7e-05	0.000762	0.000141	1.2e-05	0	0
Oligotropha	0	4.8e-05	2.9e-05	1.4e-05	0.000802	0	0	0	0
Neorhizobium	0	0.000113	5.7e-05	0	0.000465	0.000127	0	8e-06	0
Shinella	0	4.8e-05	1.4e-05	0	0.000321	0	0	0	0
Methylorubrum	0	0.000178	7.2e-05	0	0.001099	0	0	0	0
Microvirga	0	9.7e-05	7.2e-05	0	0.000473	0.000113	0	0	0
Aminobacter	0	0.000291	0.000143	0	0.000281	0.000593	0	0	0
Hoeflea	0	0.000274	0	1.4e-05	0.000217	7.1e-05	1.2e-05	0	0
Phyllobacterium	0	6.5e-05	4.3e-05	1.4e-05	0	4.2e-05	0	0	0.000846
Nitratireductor	0	6.5e-05	0.000115	1.4e-05	0	0.000141	0	0	0
Filomicrobium	0	9.7e-05	1.4e-05	1.4e-05	0.000201	0.000141	0	0	0
Pelagibacterium	0	9.7e-05	1.4e-05	1.4e-05	8.8e-05	5.7e-05	0	0	0
Rhodomicrobium	0	4.8e-05	1.4e-05	0	0.000209	2.8e-05	0	0	0
Blastochloris	0	4.8e-05	1.4e-05	0	0.000802	0	0	0	0
Maritalea	0	3.2e-05	0	0	0	1.4e-05	0	0	0
Parvibaculum	0	0.000145	0	4.1e-05	0.001934	0	0	0	0
Candidatus Phaeomarinobacter	0	8.1e-05	0	0	0.000169	0	0	0	0
Anderseniella	0	6.5e-05	0	0	0	0	0	0	0
Beijerinckia	0	0.000113	5.7e-05	2.7e-05	0.000128	2.8e-05	0	0	0
Methylocella	0	4.8e-05	0	0	0.000225	0	0	0	0
Xanthobacter	0	8.1e-05	2.9e-05	0	0.000329	0	0	0	0
Starkeya	0	3.2e-05	5.7e-05	0	0.000297	0	0	8e-06	0
Pseudolabrys	0	3.2e-05	0	0	0	0	0	0	0
Methylocystis	0	9.7e-05	4.3e-05	0	0.000128	2.8e-05	0	8e-06	0
Methylosinus	0	1.6e-05	0	0	0	0.000283	0	0	0
Pseudorhodoplanes	0	4.8e-05	2.9e-05	0	0	0	0	0	0
Hartmannibacter	0	1.6e-05	1.4e-05	0	0	0	0	0	0
Breoghania	0	3.2e-05	0	0	0	0	0	0	0
Cohaesibacter	0	1.6e-05	0	0	0	9.9e-05	1.2e-05	0	0
Chelatococcus	0	1.6e-05	8.6e-05	2.7e-05	0.000281	0	0	0	0
Sphingorhabdus	0	0.000161	0	4.1e-05	0.000185	0	0	0	0
Rhizorhabdus	0	4.8e-05	2.9e-05	0	0	0	0	0	0
Citromicrobium	0	1.6e-05	0	1.4e-05	0.000169	1.4e-05	0	0	0
Porphyrobacter	0	0.000404	0.000172	1.4e-05	0.000217	0.000155	0.000131	0	0
Thalassospira	0	0.000614	1.4e-05	0	0.000393	9.9e-05	1.2e-05	0	0
Magnetospira	0	0.000226	0	1.4e-05	0.000201	0	0	0	0
Niveispirillum	0	0.00021	0.000129	5.5e-05	0	0.000127	0	0	0
Haematospirillum	0	0.000145	0	0	0.000193	0	0	0	0
Tistrella	0	0.000113	0.000201	9.6e-05	0.014051	0	0	0	0
Candidatus Endolissoclinum	0	9.7e-05	1.4e-05	0	0.000401	0	0	0	0
Acidiphilium	0	4.8e-05	0.000115	4.1e-05	0.00053	0.00048	3.6e-05	0	0
Kozakia	0	4.8e-05	8.6e-05	0	0.000401	0	0	0	0
Gluconacetobacter	0	3.2e-05	2.9e-05	0	0.000578	4.2e-05	0	0	0
Granulibacter	0	3.2e-05	0.000143	0.000424	0.00077	0	0	0	0
Parasaccharibacter	0	3.2e-05	0.000129	0	0	0	0	0	0
Ruegeria	0	0.000194	0.000401	9.6e-05	0.000594	8.5e-05	0	0	0
Roseobacter	0	0.000178	0	0	0.000377	9.9e-05	1.2e-05	0	0
Yangia	0	0.000129	1.4e-05	0	0.000193	0	0	0	0
Sagittula	0	0.000113	7.2e-05	2.7e-05	0	4.2e-05	0	0	0
Sulfitobacter	0	9.7e-05	1e-04	1.4e-05	3.2e-05	9.9e-05	0	0	0
Pseudovibrio	0	8.1e-05	0	0	0.000369	7.1e-05	1.2e-05	0	0
Yoonia	0	6.5e-05	0.000215	0	0	0	0	0	0
Epibacterium	0	6.5e-05	0	0	0.000177	0	0	0	0
Gemmobacter	0	4.8e-05	0	0	0	0.000127	1.2e-05	0	0
Rhodovulum	0	4.8e-05	0.000129	1.4e-05	0.00081	7.1e-05	0	8e-06	0
Stappia	0	4.8e-05	0	0	8e-05	0.000466	1.2e-05	0	0
Roseibacterium	0	4.8e-05	4.3e-05	0	0.000136	0	0	0	0
Thioclava	0	4.8e-05	0	0	0	1.4e-05	1.2e-05	0	0
Rhodobaca	0	3.2e-05	0.000115	0	0	0	0	0	0
Marivivens	0	3.2e-05	0	0	0	0	0	0	0
Roseovarius	0	1.6e-05	1.4e-05	0	0	0.000438	0	0	0
Jannaschia	0	1.6e-05	0	0	0.000144	0.000311	0	0	0
Brevirhabdus	0	1.6e-05	0	0	0	0	0	0	0
Defluviimonas	0	1.6e-05	0	0	0.000281	0	0	0	0
Tateyamaria	0	1.6e-05	0	4.1e-05	0	1.4e-05	0	0	0
Hirschia	0	0.000291	4.3e-05	1.4e-05	0.000265	4.2e-05	0	0	0
Neorickettsia	0	1.6e-05	0	0	0.000281	8.5e-05	0	0	0
Candidatus Phycorickettsia	0	6.5e-05	7.2e-05	1.4e-05	0	0	0	0	0
Phenylobacterium	0	0.000113	5.7e-05	0	0.000281	7.1e-05	0	0	0
Candidatus Fonsibacter	0	1.6e-05	0.000229	0	0	0	0	0	0
Micavibrio	0	0.000145	0.000158	1.4e-05	0.000321	0	0	0	0
Candidatus Puniceispirillum	0	3.2e-05	1e-04	0	0.000233	1.4e-05	0	0	0
Phreatobacter	0	1.6e-05	0.000143	0	0	0	0	0	0
Candidatus Nucleicultrix	0	8.1e-05	1.4e-05	0	0	0	0	0	0
Magnetococcus	0	1.6e-05	5.7e-05	0	0.000185	2.8e-05	4.8e-05	0	0
Malacobacter	0	0.001017	0	0	0	0	0	0	0
Aliiarcobacter	0	0.000888	0	0	8e-06	0	0	0	0
Pseudoarcobacter	0	0.000646	0	0	0	0	0	0	0
Haloarcobacter	0	0.000371	0	0	0	0	0	0	0
Sulfuricurvum	0	4.8e-05	5.7e-05	0	0.000489	1.4e-05	0	0	0
Nitratifractor	0	3.2e-05	0	0	0.000241	0.000141	0	0	0
Nitratiruptor	0	4.8e-05	0	0	0.000409	0	0	0	0
Corallococcus	0	0.000145	2.9e-05	0	0.000506	7.1e-05	0	8e-06	0
Cystobacter	0	4.8e-05	5.7e-05	1.4e-05	1.6e-05	8.5e-05	0	8e-06	0
Melittangium	0	3.2e-05	1.4e-05	0	8e-06	0	0	0	0
Chondromyces	0	0.000113	4.3e-05	1.4e-05	0.000321	0	0	0	0
Lawsonia	0	0.000371	5.7e-05	0	0.000706	0	0	0	0
Desulfohalobium	0	8.1e-05	2.9e-05	1.4e-05	0.000136	1.4e-05	0	0	0
Desulfobacula	0	0.000161	0.000244	1.4e-05	0.000931	5.7e-05	0	0	0
Desulfocapsa	0	0.000274	2.9e-05	4.1e-05	0.000642	0	0	0	0
Desulfurivibrio	0	4.8e-05	5.7e-05	1.4e-05	0.000313	0	0	0	0
Desulfobulbus	0	1.6e-05	2.9e-05	1.4e-05	0.000233	5.7e-05	1.2e-05	0	0
Syntrophus	0	0.000242	0.000115	0	0.000249	0.000127	0	0	0
Desulfobacca	0	1.6e-05	0	0	0.000265	4.2e-05	0	0	0
Desulfurella	0	9.7e-05	0.000215	0	0.000401	0	0	0	0
Bradymonas	0	8.1e-05	8.6e-05	0	0	0	0	0	0
Halobacteriovorax	0	0.000323	1e-04	5.5e-05	0.000578	0	0	0	0
Bacteriovorax	0	0.000161	0.000115	0	3.2e-05	0.000636	1.2e-05	0	0
Acidithiobacillus	0	0.000242	0.000373	4.1e-05	0.000923	4.2e-05	0.000155	0	0
Mariprofundus	0	8.1e-05	0.000158	0	0	1.4e-05	0	0	0
Muribaculum	0	0.006345	0.010623	0.008294	0	0	0	0	0
Mariniflexile	0	0.001082	0	0	0	0	0	0	0
Olleya	0	0.000807	4.3e-05	0	0	0.000424	0	0	0
Aquimarina	0	0.000727	0	0	0	0.000636	0.000108	0	0
Arenibacter	0	0.000355	1e-04	1.4e-05	0	0.000523	6e-05	8e-06	0
Kordia	0	0.000274	0.000129	1.4e-05	0	0.000127	3.6e-05	0	0
Flavivirga	0	0.000274	0.000631	8.2e-05	0	0	0	0	0
Weeksella	0	0.000258	0	2.7e-05	0.000457	0.00041	0	0	0
Tamlana	0	0.000194	2.9e-05	0	0	0.000339	2.4e-05	0	0
Salegentibacter	0	0.000178	0.000244	6.8e-05	0	0.000523	4.8e-05	0	0
Gilvibacter	0	0.000161	0	0	0	0	3.6e-05	0	0
Aureitalea	0	3.2e-05	2.9e-05	4.1e-05	0	0	0	0	0
Siansivirga	0	1.6e-05	0.000229	2.7e-05	0.000867	0	0	0	0
Owenweeksia	0	0.000468	8.6e-05	4.1e-05	0.000698	1.4e-05	0	8e-06	0
Candidatus Sulcia	0	0.000258	7.2e-05	6.8e-05	0.001147	0.000113	0	0	0
Ichthyobacterium	0	3.2e-05	0.000272	0	0	2.8e-05	0	0	0
Pseudarcicella	0	0.000145	0.000158	2.7e-05	0	1.4e-05	0	0	0
Echinicola	0	0.000307	8.6e-05	9.6e-05	0.000995	0.000494	3.6e-05	0	0
Belliella	0	0.000194	0.000344	1.4e-05	0.001372	0.00017	0	0	0
Persicobacter	0	0.00063	0.000143	1.4e-05	0.001717	8.5e-05	3.6e-05	5e-05	0
Chryseolinea	0	0.000307	0	0	0	0	0	0	0
Candidatus Cardinium	0	3.2e-05	2.9e-05	0	9.6e-05	1.4e-05	0	0	0
Pseudoflavitalea	0	0.00021	0	0	0	0	0	0	0
Saprospira	0	0.000614	1.4e-05	0	0.000473	2.8e-05	0	9.1e-05	0
Rhodothermus	0	0.00021	0.000129	4.1e-05	0.00061	0.000184	0	0	0
Chloroherpeton	0	4.8e-05	4.3e-05	4.1e-05	0.000554	1.4e-05	0	0	0
Melioribacter	0	6.5e-05	7.2e-05	1.4e-05	0.000257	2.8e-05	0	0	0
Gemmatirosa	0	3.2e-05	7.2e-05	2.7e-05	0.000546	1.4e-05	0	0	0
Sediminispirochaeta	0	0.000242	0.000129	2.7e-05	0.000409	2.8e-05	0	0	0
Salinispira	0	0.000113	0.000129	0	0.000321	1.4e-05	0	0	0
Borreliella	0	0.000291	1e-04	0.000109	0.003346	4.2e-05	0	0	0
Turneriella	0	0.000194	5.7e-05	2.7e-05	0.000225	0	0	0	0
Planctopirus	0	0.000161	2.9e-05	0	0.000177	1.4e-05	0	0	0
Fuerstia	0	4.8e-05	0	0	0	9.9e-05	0	0	0
Rubinisphaera	0	1.6e-05	0.000143	9.6e-05	0.000257	8.5e-05	0	0	0
Thermogutta	0	1.6e-05	5.7e-05	5.5e-05	0	0	0	0	0
Paludisphaera	0	1.6e-05	2.9e-05	0	0	0	0	0	0
Candidatus Kuenenia	0	9.7e-05	0.000129	8.2e-05	0.000369	7.1e-05	0	0	0
Phycisphaera	0	3.2e-05	7.2e-05	1.4e-05	0.00016	0.000127	0	1.7e-05	0
Ereboglobus	0	0.000145	0	0	0	0	0	0	0
Parachlamydia	0	0.000145	2.9e-05	2.7e-05	0.000209	0	0	0	0
Waddlia	0	0.000145	0.000215	0	0.000361	5.7e-05	0	0	0
Kiritimatiella	0	1.6e-05	0.000287	0.000151	0	0	0	0	0
Thermotoga	0	0.000161	1e-04	0.000342	0.002423	0.002077	9.6e-05	0	0
Petrotoga	0	0.000258	0.000172	1.4e-05	0.001035	5.7e-05	9.6e-05	8e-06	0
Kosmotoga	0	4.8e-05	5.7e-05	2.7e-05	0.000473	0.000141	0	0	0
Granulicella	0	0.00063	8.6e-05	1.4e-05	0.000457	4.2e-05	0	0	0
Terriglobus	0	0.000258	1e-04	0.000205	0.000963	0.000353	0	0	0
Candidatus Koribacter	0	1.6e-05	0.000129	0	0.000353	0	0	0	0
Chloracidobacterium	0	3.2e-05	2.9e-05	0	0.000217	0	0	0	0
Sulfurihydrogenibium	0	0.000484	0.000201	0.000109	0.001083	0.000155	1.2e-05	6.6e-05	0
Persephonella	0	1.6e-05	1e-04	0	0.000506	0.000113	0	1.7e-05	0
Hydrogenobaculum	0	6.5e-05	1e-04	1.4e-05	0.001444	0	0	0	0
Aquifex	0	3.2e-05	8.6e-05	6.8e-05	0.000257	1.4e-05	0	0	0
Thermovibrio	0	1.6e-05	0.000129	2.7e-05	6.4e-05	2.8e-05	0	0	0
Acetomicrobium	0	0.000161	0.000158	0.000109	0.000169	8.5e-05	0	0	0
Thermovirga	0	4.8e-05	2.9e-05	0	0.000265	1.4e-05	0	0	0
Aminomonas	0	3.2e-05	0	0	0	0	0	0	0
Thermanaerovibrio	0	3.2e-05	2.9e-05	0	5.6e-05	7.1e-05	0	0	0
Nitrospira	0	0.000113	2.9e-05	0	0.000481	0.000212	0	0	0
Thermodesulfatator	0	4.8e-05	5.7e-05	0	0.000273	4.2e-05	0	0	0
Caldimicrobium	0	4.8e-05	0.000115	2.7e-05	0.000273	0	0	0	0
Flexistipes	0	0.000161	0	0	0.000457	2.8e-05	0	0	0
Deferribacter	0	0.000113	1e-04	0	0.000827	0	0	0	0
Calditerrivibrio	0	4.8e-05	0.000158	2.7e-05	0.000514	0	0.000203	0	0
Methanotorris	0	0.000387	0.000229	2.7e-05	0.000498	0	0	0	0
Methanothermococcus	0	0.000307	2.9e-05	4.1e-05	0.000642	1.4e-05	0	0	0
Methanobacterium	0	0.000355	0.000315	0.000151	0.002744	0.000862	2.4e-05	8e-06	0
Methanothermobacter	0	6.5e-05	1.4e-05	2.7e-05	0.000385	0	0	0	0
Methanothermus	0	9.7e-05	4.3e-05	0	0.000433	0	0	0	0
Methanohalophilus	0	0.000662	5.7e-05	6.8e-05	0.000249	1.4e-05	0	0	0
Methanomethylovorans	0	4.8e-05	1.4e-05	5.5e-05	0.000273	0.00024	0	0	0
Methanolobus	0	1.6e-05	5.7e-05	4.1e-05	0.000257	5.7e-05	0	0	0
Methanococcoides	0	1.6e-05	0	0	0.000554	7.1e-05	1.2e-05	0	0
Methanohalobium	0	1.6e-05	2.9e-05	1.4e-05	0.000506	0	0	0	0
