"Supplementary Table S12. Read-level sensitivity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT11964,0.021,0.226,0.501,0.613,0.687
MAG-GUT1196,0.024,0.254,0.566,0.672,0.702
MAG-GUT11972,0.032,0.297,0.600,0.704,0.756
MAG-GUT11977,0.036,0.401,0.769,0.849,0.856
MAG-GUT1197,0.021,0.258,0.573,0.686,0.705
MAG-GUT1198,0.014,0.156,0.331,0.400,0.482
MAG-GUT12028,0.012,0.240,0.552,0.654,0.724
MAG-GUT12030,0.030,0.396,0.796,0.879,0.887
MAG-GUT12049,0.034,0.361,0.734,0.822,0.828
MAG-GUT12051,0.011,0.148,0.398,0.508,0.606
MAG-GUT12063,0.034,0.396,0.768,0.852,0.855
MAG-GUT1206,0.015,0.164,0.328,0.401,0.490
MAG-GUT12082,0.034,0.384,0.751,0.823,0.829
MAG-GUT12095,0.033,0.365,0.722,0.801,0.796
MAG-GUT12106,0.034,0.246,0.507,0.606,0.657
MAG-GUT1212,0.015,0.166,0.318,0.405,0.480
MAG-GUT1214,0.020,0.211,0.525,0.628,0.700
MAG-GUT12173,0.052,0.441,0.809,0.862,0.846
MAG-GUT1217,0.015,0.171,0.328,0.410,0.490
MAG-GUT12186,0.020,0.212,0.477,0.581,0.645
MAG-GUT12195,0.033,0.365,0.713,0.808,0.814
MAG-GUT12217,0.012,0.250,0.574,0.669,0.760
MAG-GUT12225,0.048,0.411,0.719,0.777,0.766
MAG-GUT12230,0.034,0.401,0.780,0.864,0.875
MAG-GUT12256,0.042,0.283,0.520,0.601,0.596
MAG-GUT12257,0.033,0.386,0.731,0.815,0.818
MAG-GUT12259,0.016,0.161,0.347,0.452,0.568
MAG-GUT12264,0.092,0.555,0.827,0.868,0.837
MAG-GUT12267,0.050,0.433,0.754,0.804,0.784
MAG-GUT12269,0.017,0.222,0.501,0.616,0.710
MAG-GUT1227,0.014,0.155,0.322,0.396,0.468
MAG-GUT1228,0.022,0.260,0.593,0.707,0.725
MAG-GUT12300,0.010,0.134,0.348,0.457,0.551
MAG-GUT12321,0.014,0.135,0.328,0.411,0.513
MAG-GUT1232,0.017,0.163,0.329,0.401,0.484
MAG-GUT12340,0.019,0.188,0.413,0.524,0.620
MAG-GUT12348,0.080,0.520,0.839,0.883,0.846
MAG-GUT12361,0.011,0.201,0.511,0.641,0.777
MAG-GUT1236,0.021,0.258,0.561,0.671,0.702
MAG-GUT12377,0.053,0.441,0.786,0.848,0.832
MAG-GUT12391,0.019,0.197,0.442,0.543,0.648
MAG-GUT12393,0.044,0.428,0.745,0.796,0.759
MAG-GUT1240,0.009,0.099,0.254,0.334,0.420
MAG-GUT1242,0.019,0.255,0.562,0.665,0.685
MAG-GUT1244,0.026,0.254,0.572,0.678,0.709
